"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
14236554,"지석강친환경","","D","소매","D01","음/식료품소매","D01A13","청과물소매","G47214","과실 및 채소 소매업",46,"전라남도",46790,"화순군",4679033000,"청풍면",4679033030,"청풍면",4679033030200730008,1,"대지",73,8,"전라남도 화순군 청풍면 신리 73-8",467903291038,"전라남도 화순군 청풍면 학포로",482,NA,"4679033030100790007032709","","전라남도 화순군 청풍면 학포로 482",519873,58163,"","",NA,126.986989117044,34.8812570423313
20178772,"백용떡방앗간","","Q","음식","Q08","제과제빵떡케익","Q08A03","떡전문","I56191","제과점업",46,"전라남도",46790,"화순군",4679042000,"동면",4679042021,"동면",4679042021200380013,1,"대지",38,13,"전라남도 화순군 동면 백용리 38-13",467903291052,"전라남도 화순군 동면 충의로",543,NA,"4679042021100380013000754","","전라남도 화순군 동면 충의로 543",519882,58133,"","",NA,127.017723813757,35.0265852609624
20161467,"미니스톱내패스트푸드","","D","소매","D03","종합소매점","D03A01","편의점","G47122","체인화 편의점",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025030,"화순읍",4679025030203210000,1,"대지",321,NA,"전라남도 화순군 화순읍 광덕리 321",467903291004,"전라남도 화순군 화순읍 광덕로",139,NA,"4679025030103210000044925","미륭타운","전라남도 화순군 화순읍 광덕로 139",519765,58125,"","",NA,126.991180659965,35.0570696680728
26259749,"순수헤어","","F","생활서비스","F01","이/미용/건강","F01A01","여성미용실","S96112","두발미용업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025028,"화순읍",4679025028206860000,1,"대지",686,NA,"전라남도 화순군 화순읍 일심리 686",467904673393,"전라남도 화순군 화순읍 일심4길",1,15,"4679025028106860000045085","대성빌라","전라남도 화순군 화순읍 일심4길 1-15",519809,58126,"","1",NA,126.992836590303,35.0579127268355
20256531,"송죽헌","","Q","음식","Q01","한식","Q01A07","부대찌개/섞어찌개","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025027,"화순읍",4679025027202630002,1,"대지",263,2,"전라남도 화순군 화순읍 유천리 263-2",467904673175,"전라남도 화순군 화순읍 백운촌길",3,15,"4679025027102630002000001","","전라남도 화순군 화순읍 백운촌길 3-15",519953,58105,"","",NA,126.998486597582,35.067433341629
20166814,"해피투","","Q","음식","Q01","한식","Q01A01","한식/백반/한정식","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023201960000,1,"대지",196,NA,"전라남도 화순군 화순읍 만연리 196",467903291008,"전라남도 화순군 화순읍 만연로",63,NA,"4679025023101960000047033","","전라남도 화순군 화순읍 만연로 63",519806,58118,"","",NA,126.989714030837,35.0613301517787
25023806,"네일홀릭","","F","생활서비스","F01","이/미용/건강","F01A02","발/네일케어","S96119","기타미용업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025022,"화순읍",4679025022200040010,1,"대지",4,10,"전라남도 화순군 화순읍 향청리 4-10",467903291050,"전라남도 화순군 화순읍 중앙로",74,NA,"4679025022100040010044563","","전라남도 화순군 화순읍 중앙로 74",519808,58124,"","",NA,126.989408910871,35.0602909874338
22557755,"미녀들의수다","","Q","음식","Q06","양식","Q06A01","정통양식/경양식","I56114","서양식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202420002,1,"대지",242,2,"전라남도 화순군 화순읍 만연리 242-2",467903291004,"전라남도 화순군 화순읍 광덕로",189,NA,"4679025023102420002045030","","전라남도 화순군 화순읍 광덕로 189",519806,58117,"","2",NA,126.992242448749,35.0616576639686
14272636,"화순광고기획","","F","생활서비스","F12","광고/인쇄","F12A05","광고물제작-종합","C33910","간판 및 광고물 제조업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025025,"화순읍",4679025025200380015,1,"대지",38,15,"전라남도 화순군 화순읍 훈리 38-15",467903291042,"전라남도 화순군 화순읍 대교로",71,NA,"4679025025100380015043471","","전라남도 화순군 화순읍 대교로 71",519805,58113,"","",NA,126.987242050034,35.0635360220295
24965487,"넥스영어학원","","R","학문/교육","R04","학원-어학","R04A01","학원-외국어/어학","P85502","외국어학원",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202430000,1,"대지",243,NA,"전라남도 화순군 화순읍 만연리 243",467903291050,"전라남도 화순군 화순읍 중앙로",101,NA,"4679025023102430000045165","화순부영아파트","전라남도 화순군 화순읍 중앙로 101",519754,58116,"","",NA,126.992989844201,35.0606092197976
26041758,"궁전모텔","","O","숙박","O02","모텔/여관/여인숙","O02A01","모텔/여관/여인숙","I55112","여관업",46,"전라남도",46790,"화순군",4679036000,"도곡면",4679036028,"도곡면",4679036028206960007,1,"대지",696,7,"전라남도 화순군 도곡면 천암리 696-7",467903291031,"전라남도 화순군 도곡면 지강로",169,8,"4679036028106960038000001","","전라남도 화순군 도곡면 지강로 169-8",519832,58148,"","",NA,126.911533759904,35.013681500312
16634672,"여미가","","Q","음식","Q01","한식","Q01A01","한식/백반/한정식","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031206200008,1,"대지",620,8,"전라남도 화순군 화순읍 삼천리 620-8",467904673266,"전라남도 화순군 화순읍 시장길",29,NA,"4679025031106200008042095","","전라남도 화순군 화순읍 시장길 29",519807,58122,"","1",NA,126.983129639841,35.0583275202905
23108274,"화신미용실","","F","생활서비스","F01","이/미용/건강","F01A01","여성미용실","S96112","두발미용업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025022,"화순읍",4679025022200790008,1,"대지",79,8,"전라남도 화순군 화순읍 향청리 79-8",467903291050,"전라남도 화순군 화순읍 중앙로",23,NA,"4679025022100790008042424","","전라남도 화순군 화순읍 중앙로 23",519808,58119,"","",NA,126.984154025049,35.0605896299613
